,Represented Test Veh Make,Represented Test Veh Model,CO2 (g/mi),Veh Mfr Code,Vehicle Type,Test Vehicle ID
0,ACURA,ILX,290.19217391304346,HNX,Car,EG4H1D
1,ACURA,ILX HYBRID,184.7711111111111,HNX,Car,ED9C2C
2,ACURA,MDX 2WD,288.2075,HNX,Car,EGJ62A
3,ACURA,MDX 4WD,341.77722280625,HNX,Car,EGJ61A
4,ACURA,RDX 2WD,287.41249999999997,HNX,Truck,EGME2A
5,ACURA,RDX 4WD,298.8275,HNX,Truck,EGME1A
6,ACURA,RDX BASE/TECH,328.335,HNX,Truck,EAWC1A
7,ACURA,RL,365.075,HNX,Car,E9KG1A
8,ACURA,RLX HYBRID,217.68601855,HNX,Car,EE9S1A
9,ACURA,TL 2WD,298.108,HNX,Car,ECK11A
10,ACURA,TL 4WD,328.369,HNX,Car,EAK21M
11,ACURA,TLX,246.02795345833337,HNX,Both,DFDF1D
12,ACURA,TSX,272.90875,HNX,Car,EBL51A
13,ACURA,TSX V6,309.28,HNX,Car,EAL81A
14,ACURA,TSX/TSX Premium,280.297015225,HNX,Car,E9L51A
15,ACURA,ZDX 4WD,356.32688895,HNX,Car,EAP61A
16,AUDI,A3,311.06534260846564,VGA,Car,FAPA-AAF
17,AUDI,A3 QUATTRO,333.4,ADX,Car,93UA-AAQ
18,AUDI,A3 e-tron,176.1721178,VGA,Car,AU373-6-0813/16
19,AUDI,A4,304.504132231405,ADX,Car,D3UB-BAF
20,AUDI,A4 AVANT QUATTRO,291.66854145,ADX,Car,93UB-BAQ
21,AUDI,A4 Allroad,285.75,VGA,Both,FAUF-BAA
22,AUDI,A4 QUATTRO,308.375,ADX,Car,93UB-BMQ
23,AUDI,A5,311.27272727272725,ADX,Car,DFUB-BAQ
24,AUDI,A5 quattro,353.2857142857143,ADX,Car,93UB-BAQ
25,AUDI,A6,336.1611233046875,VGA,Car,GAUE-CAQ
26,AUDI,A6 QUATTRO,369.9230769230769,ADX,Car,7365-CAQ
27,AUDI,A6 quattro,354.2,ADX,Car,D3UB-CAQ
28,AUDI,A7,318.2171912077922,VGA,Both,GNU4-CAQ
29,AUDI,A8,369.1106305673913,ADX,Car,D3UG-DAQ
30,AUDI,A8 L,367.0,ADX,Car,7365-DAQ
31,AUDI,A8L,433.5461379071429,VGA,Car,AU641 40848 /15
32,AUDI,Audi A6,258.5,VGA,Car,GAAC-CAF
33,AUDI,Audi A8 W12,515.2,VWX,Car,AU641 10375/13
34,AUDI,Audi TT,312.14939537272727,VGA,Car,GAPA-TAQ
35,AUDI,EOS,328.0,ADX,Car,VW465 790007/09
36,AUDI,PASSAT WAGON,338.4,ADX,Car,VW462 8-0062/08
37,AUDI,Q3,338.6429472375,VGA,Car,FAUA-Q3A
38,AUDI,Q5,351.31666666666666,ADX,Both,D3UF-Q5A
39,AUDI,Q5 Hybrid,308.8,ADX,Truck,DHUB-Q5H
40,AUDI,Q7,420.0396274785,ADX,Truck,BTLF-Q7A
41,AUDI,R8,539.822717112,ADX,Car,9LR8-RMQ
42,AUDI,RS5,443.0,ADX,Car,D3UL-BSQ
43,AUDI,RS7,451.2,ADX,Car,E3UJ-RSQ
44,AUDI,S3,310.05,VGA,Car,FAUA-S3A
45,AUDI,S4,393.46666666666664,ADX,Car,A3UF-BAQ
46,AUDI,S5,410.64444444444445,ADX,Both,D3UF-BAQ
47,AUDI,S6,396.1111111111111,VGA,Car,GNUA-S6Q
48,AUDI,S7,400.4166666666667,ADX,Car,D3UJ-S7Q
49,AUDI,S8,420.8,VGA,Car,FNUA-S8Q
50,AUDI,S8 Plus,452.1433681833333,VGA,Car,GNUA-S8P
51,AUDI,SQ5,419.47244225882355,VGA,Both,E3UF-SQ5
52,AUDI,TIGUAN,314.0,ADX,Car,VW416 8-0218/09
53,AUDI,TIGUAN 4MOTION,327.813493625,ADX,Car,VW416 8-0217/09
54,AUDI,TT COUPE QUATTRO,339.2096163885714,ADX,Car,93UA-TTS
55,AUDI,TT Coupe,313.2,ADX,Car,B3UA-TAQ
56,AUDI,TTRS,390.93694252,ADX,Car,C3UK-AMQ
57,AUDI,TTS,322.2,VGA,Car,GAUA-TTS
58,AUDI,Touareg,431.42857142857144,ADX,Truck,EDV 93LD-TAQ
59,Alfa Romeo,8C Spider,510.2585,FTG,Car,ZARJA281090047440
60,Aston Martin,DB9,463.53075,ASX,Car,143TT1042
61,Aston Martin,DBS,502.92775,ASX,Car,304M2323
62,Aston Martin,Rapide,448.1225,ASX,Car,400TT464
63,Aston Martin,Rapide S,404.28,ASX,Car,410TT4202
64,Aston Martin,V12 Vantage S,478.28999999999996,ASX,Car,288TT2087
65,Aston Martin,V8 VANTAGE,434.5004666666666,ASX,Car,210TT241
66,Aston Martin,V8 VANTAGE S,418.155,ASX,Car,270TT244
67,Aston Martin,V8 Vantage,466.45799999999997,ASX,Car,CP305
68,Aston Martin,Vanquish,422.7,ASX,Car,314TT3175
69,Aston Martin,Virage,459.245,ASX,Car,112TT189
70,Audi,Q5,405.8,ADX,Truck,93UC-Q5A
72,BENTLEY,CONTINENTAL GTC,541.0,BEX,Car,VIN 35415
73,BENTLEY,Continental GT,492.53125,ADX,Car,E3UJ-BY62
74,BENTLEY,Continental GT3-R,494.2,VGA,Car,FNUA-GT3
75,BENTLEY,Continental Supersports,535.2170800227273,BEX,Car,BY61021
76,BENTLEY,Mulsanne Speed,500.5,VGA,Car,19757/16
78,BMW,128i,313.63525,BMX,Both,VF06008
79,BMW,128i Convertible,311.2174787647059,BMX,Both,VF06008
80,BMW,135i,315.68125,BMX,Both,A745500
81,BMW,135i Convertible,317.5383333333333,BMX,Both,A745500
82,BMW,135iA,327.9975,BMX,Car,VF24005
83,BMW,228i,249.79542296571427,BMX,Both,VW97809
84,BMW,228i Convertible,262.6366666666667,BMX,Both,VV98818
85,BMW,228i xDrive,271.8093957125,BMX,Car,VW98305
86,BMW,228i xDrive Convertible,270.3014285714286,BMX,Both,VV98818
87,BMW,320i,237.36569325000002,BMX,Both,FX99511
88,BMW,320i xDrive,244.23808162499998,BMX,Both,FX99510
89,BMW,328Ci,302.6225,BMX,Both,PU87089
90,BMW,328Ci Convertible,340.7075,BMX,Car,AC79601
91,BMW,328CiA Convertible,355.12166666666667,BMX,Car,KX63709
92,BMW,328d,200.955,BMX,Car,F099010
93,BMW,328d Sports Wagon xDrive,213.9175,BMX,Car,F099010
94,BMW,328d xDrive,213.041473775,BMX,Car,K290728
95,BMW,328d xDrive Sports Wagon,265.967,BMX,Car,K290728
96,BMW,328i,290.24448309045647,BMX,Car,A696623
97,BMW,328i xDrive,246.6497916666667,BMX,Car,A696623
98,BMW,328i xDrive Gran Turismo,256.3910714285714,BMX,Car,D416003
99,BMW,328i xDrive Sports Wagon,256.00481535625,BMX,Both,F600612
100,BMW,328xi,340.7038888888889,BMX,Car,AC79601
101,BMW,328xiA,328.799,BMX,Car,KX63709
102,BMW,330e,211.3125,BMX,Car,K478507
103,BMW,335Ci,285.08,BMX,Both,A745500
104,BMW,335Ci Convertible,326.98741151111113,BMX,Both,A745000
105,BMW,335Ci xDrive,307.8975,BMX,Both,A745000
106,BMW,335CiA,290.1433333333334,BMX,Both,A745000
107,BMW,335d,274.5493892,BMX,Car,A265015
108,BMW,335i,279.54825,BMX,Both,F077601
109,BMW,335i xDrive,295.11009556545457,BMX,Both,F077601
110,BMW,335i xDrive Gran Turismo,283.39500000000004,BMX,Both,F476165
111,BMW,335is Convertible,352.52,BMX,Car,P157025
112,BMW,335is Coupe,343.5975,BMX,Car,P157025
113,BMW,340i,289.0916022,BMX,Car,K383200
114,BMW,340i xDrive,281.117,BMX,Car,K383200
115,BMW,428i Convertible,251.7973161375,BMX,Car,F438121
116,BMW,428i Convertible xDrive,263.6127272727272,BMX,Car,F438121
117,BMW,428i Coupe,241.7007355222222,BMX,Both,F453277
118,BMW,428i Gran Coupe,232.96393646111108,BMX,Car,D416003
119,BMW,428i xDrive,250.51625,BMX,Both,F600612
120,BMW,428i xDrive Gran Coupe,250.244375,BMX,Car,D416003
121,BMW,435i Convertible,274.63,BMX,Both,F476148
122,BMW,435i Coupe,276.28303938333335,BMX,Both,F078099
123,BMW,435i Gran Coupe,269.587773775,BMX,Both,F476148
124,BMW,435i xDrive Convertible,291.9866666666667,BMX,Both,F476148
125,BMW,435i xDrive Coupe,285.25333333333333,BMX,Both,F078099
126,BMW,435i xDrive Gran Coupe,290.52666666666664,BMX,Both,F476165
127,BMW,528i,255.86625,BMX,Car,C593806
128,BMW,528i xDrive,254.3,BMX,Car,C593806
129,BMW,528xi,319.205,BMX,Both,B996002
130,BMW,535d,245.9425,BMX,Car,D001500
131,BMW,535d xDrive,255.19916417692306,BMX,Car,D001500
132,BMW,535i,287.6041284802198,BMX,Car,C800682
133,BMW,535i Gran Turismo,303.76132882,BMX,Car,C994902
134,BMW,535i xDrive,290.13465753424657,BMX,Car,C800682
135,BMW,535i xDrive Gran Turismo,321.8171052631579,BMX,Car,C994902
136,BMW,535iA,307.7769230769231,BMX,Car,C266015
137,BMW,535xi,366.8533333333333,BMX,Car,CK93004
138,BMW,535xiA,360.1766666666667,BMX,Car,CN54511
139,BMW,550i,351.95557485490195,BMX,Car,D680672
140,BMW,550i GT,354.7735135135135,BMX,Car,C208005
141,BMW,550i Gran Turismo,360.1205,BMX,Car,C996403
142,BMW,550i xDrive,351.28700000000003,BMX,Car,D680672
143,BMW,550i xDrive Gran Turismo,396.4591436357143,BMX,Car,C996403
144,BMW,550i xDrive GranTurismo,374.97333333333336,BMX,Car,C208007
145,BMW,640i Convertible,284.2512903225807,BMX,Car,C800682
146,BMW,640i Coupe,282.57125,BMX,Car,C800682
147,BMW,640i xDrive Convertible,295.48,BMX,Car,C994902
148,BMW,640i xDrive Coupe,292.3035958666667,BMX,Car,C994902
149,BMW,650Ci,375.045,BMX,Car,CN93001
150,BMW,650Ci Convertible,392.6675,BMX,Car,CN93001
151,BMW,650i Convertible,355.345,BMX,Car,DW20000
152,BMW,650i Convertible xDrive,374.35,BMX,Car,C270008
153,BMW,650i Coupe,354.40794087391305,BMX,Car,DW20000
154,BMW,650i xDrive Convertible,364.5125,BMX,Car,DW20000
155,BMW,650i xDrive Coupe,352.97214285714284,BMX,Car,DW20000
156,BMW,740Ld xDrive,297.26599999999996,BMX,Car,D383603
157,BMW,740Li,308.4542857142857,BMX,Car,C994902
158,BMW,740Li xDrive,299.59499999999997,BMX,Car,C994903
159,BMW,740i,296.00666666666666,BMX,Car,GD99809
160,BMW,750 Li xDrive,418.105,BMX,Car,CY35127
161,BMW,750Li,355.325,BMX,Car,C996403
162,BMW,750Li xDrive,355.81,BMX,Car,C996403
163,BMW,750i,385.48436034915255,BMX,Car,GE12213
164,BMW,750i xDrive,375.4866666666667,BMX,Car,GE12213
165,BMW,760Li,454.1388847,BMX,Car,CY40013
166,BMW,ActiveHybrid 3,232.91909189999998,BMX,Car,F145016
167,BMW,ActiveHybrid 5,305.5448218875,BMX,Car,C751520
168,BMW,ActiveHybrid 7,300.0228571428571,BMX,Car,DD85512
169,BMW,ActiveHybrid 7 L,340.37666955,BMX,Car,C197010
170,BMW,ActiveHybrid X6,391.47810451818185,BMX,Truck,LC66005
171,BMW,Alpina B7 LWB,376.96166666666664,BMX,Car,DS17300
172,BMW,Alpina B7 LWB xDrive,404.90749999999997,BMX,Car,DS17300
174,BMW,I3 REX,195.51000000000002,BMX,Car,VX62501
175,BMW,I8,282.66125444000005,BMX,Car,VX64010
176,BMW,M2,303.2358024166667,BMX,Both,VW84033
177,BMW,M235i,279.7341666666667,BMX,Both,VW84010
178,BMW,M235i Convertible,308.1,BMX,Both,VW84010
179,BMW,M235i xDrive,283.535,BMX,Both,VW84010
180,BMW,M3,403.255,BMX,Car,F708503
181,BMW,M3 Convertible,429.0316666666667,BMX,Car,PY39002
182,BMW,M4 Convertible,340.14739753333333,BMX,Car,F708503
183,BMW,M4 Coupe,303.9044774,BMX,Car,F708503
184,BMW,M4 GTS,360.66030795,BMX,Car,K333464
185,BMW,M5,433.79305521666663,BMX,Car,C772210
186,BMW,M6,523.4133333333333,BMX,Car,B581012
187,BMW,M6 Convertible,434.0789825764706,BMX,Car,C772210
188,BMW,X1 sDrive28i,246.0525,BMX,Car,VL64015
189,BMW,X1 xDrive28i,278.3277777777778,BMX,Car,P880032
190,BMW,X1 xDrive35i,317.52,BMX,Both,VL63554
191,BMW,X3 xDrive 28d,250.07,BMX,Truck,0E95003
192,BMW,X3 xDrive28i,294.59273418333333,BMX,Both,LK59506
193,BMW,X3 xDrive30i,344.33500000000004,BMX,Both,WE78000
194,BMW,X3 xDrive35i,311.67000593499995,BMX,Both,0E77345
195,BMW,X4 M40i,321.26580365,BMX,Both,0M91004
196,BMW,X4 xDrive 28i,288.84166666666664,BMX,Car,0A24558
197,BMW,X4 xDrive35i,307.72249999999997,BMX,Both,0E77345
198,BMW,X5 M,448.22,BMX,Truck,0G93507
199,BMW,X5 sDrive35i,313.82545454545453,BMX,Truck,0H38220
200,BMW,X5 xDrive 35d,318.9871428571428,BMX,Truck,0C06535
201,BMW,X5 xDrive 50i,423.75666666666666,BMX,Truck,0C02938
202,BMW,X5 xDrive30i,381.84000000000003,BMX,Truck,LY74000
203,BMW,X5 xDrive35d,335.1567761041096,BMX,Truck,0C06535
204,BMW,X5 xDrive35i,339.7243528916667,BMX,Truck,0H38220
205,BMW,X5 xDrive40e,304.93291228,BMX,Truck,0F74534
206,BMW,X5 xDrive48i,429.7675,BMX,Truck,LY63000
207,BMW,X5 xDrive50i,417.68375,BMX,Truck,0C02938
208,BMW,X5 xDriveM,493.65137765,BMX,Truck,LK25003
209,BMW,X6 sDrive35i,346.14000000000004,BMX,Truck,0H38220
210,BMW,X6 xDrive 35i,356.83666666666664,BMX,Truck,0H21655
211,BMW,X6 xDrive 50i,434.0316666666667,BMX,Truck,0C02938
212,BMW,X6 xDrive35i,327.8229411764706,BMX,Truck,0H38220
213,BMW,X6 xDrive50i,414.83923076923077,BMX,Truck,0J77228
214,BMW,X6 xDriveM,462.84499999999997,BMX,Truck,LK25003
215,BMW,Z4 sDrive28i,254.2577776,BMX,Car,E716500
216,BMW,Z4 sDrive30i,287.12666666666667,BMX,Both,E162141
217,BMW,Z4 sDrive35i,322.90402329166665,BMX,Car,E381819
218,BMW,Z4 sDrive35is,342.15000000000003,BMX,Car,E381818
219,BUGATTI,Veyron Super Sport,783.6,BGT,Car,BAX-US100/10
220,BUICK,4GB69,291.14741595,GMX,Both,244AG73902
221,BUICK,4GM69,337.186365625,GMX,Both,304AG59457
222,BUICK,4GT69,321.68283333333335,GMX,Both,364AG55336
223,BUICK,4HP69,320.76916666666665,GMX,Car,3949HN8000
224,BUICK,CASCADA,294.16657765,GMX,Car,163460V009
225,BUICK,ENCLAVE AWD,365.0664166666667,GMX,Truck,361FVP6999
226,BUICK,ENCORE,225.29999999999998,GMX,Car,14S41810
227,BUICK,ENCORE AWD,243.732718825,GMX,Car,14S41810
228,BUICK,ENVISION AWD,323.73333333333335,GMX,Truck,201BGX27718
229,BUICK,LACROSSE,286.1033328394737,GMX,Car,244BGN4226
230,BUICK,LACROSSE AWD,325.59175,GMX,Both,3644G56366
231,BUICK,LUCERNE,316.01575,GMX,Car,3949HN8000
232,BUICK,REGAL,283.5107884615385,GMX,Both,244CGN4309
233,BUICK,REGAL AWD,303.15000000000003,GMX,Car,201DGN4061
234,BUICK,VERANO,269.0233614818182,GMX,Car,204DPN4121
235,BUICK,ZR14526,370.7985,GMX,Both,3689ZP8000
237,Bentley,Arnage,599.439225,BEX,Car,99292
238,Bentley,Continental Supersports,531.0,BEX,Car,BY60961
239,Bentley,Mulsanne,621.5132944592593,BEX,Car,15113
241,Bugatti,Veyron,809.6,BGT,Car,BAX-US100/08
242,CADILLAC,6DC29,378.68874999999997,GMX,Car,4667DP4012
243,CADILLAC,6DM69,327.7033474272727,GMX,Both,306ADN8001
244,CADILLAC,6DN69,474.29512000000005,GMX,Car,6269DP4410
245,CADILLAC,6DP35,320.04966666666667,GMX,Car,3660D74413
246,CADILLAC,6K10706,412.28295238095245,GMX,Truck,62XEKUA007
247,CADILLAC,6KD69,373.568,GMX,Car,4666K21389
248,CADILLAC,6KJ69,491.8878333333334,GMX,Car,4666KN4017
249,CADILLAC,6NG26,325.215625,GMX,Both,306ANP5010
250,CADILLAC,6NL26,364.6064059222222,GMX,Both,2860N92510
251,CADILLAC,ATS,283.48119175342464,GMX,Car,206GAE2010
252,CADILLAC,ATS AWD,263.9635,GMX,Car,206GAE2011
253,CADILLAC,ATS-V,350.844,GMX,Car,366GAN4008
254,CADILLAC,CT6,288.35,GMX,Car,206GKE4204
255,CADILLAC,CT6 AWD,317.15,GMX,Car,3066K77727
256,CADILLAC,CTS,380.81086923076924,GMX,Car,621AFP2008
257,CADILLAC,CTS AWD,313.243,GMX,Car,306ADN8001
258,CADILLAC,CTS SEDAN,310.6991176470588,GMX,Car,206GAE4667
259,CADILLAC,CTS SEDAN AWD,302.383625,GMX,Both,366GAE4656
260,CADILLAC,CTS WAGON,449.3081363636364,GMX,Car,626ADN0028
261,CADILLAC,CTS-V,429.279,GMX,Car,626GAN4067
262,CADILLAC,DTS,373.568,GMX,Car,4666K21389
263,CADILLAC,ELR,255.49720000000002,GMX,Car,146GRE2000
264,CADILLAC,ESCALADE 2WD,414.27329032258064,GMX,Truck,62CPFE1202
265,CADILLAC,ESCALADE 4WD HYBRID,311.8715,GMX,Truck,60C0K41256
266,CADILLAC,ESCALADE AWD,433.0790588235294,GMX,Truck,62XEKUA007
267,CADILLAC,FUNERAL COACH/HEARSE,493.11650000000003,GMX,Car,4666KN4017
268,CADILLAC,LIMOUSINE,475.06735,GMX,Car,4664K92519
269,CADILLAC,SRX 2WD,337.9432105263158,GMX,Both,366CNP5602
270,CADILLAC,SRX AWD,360.6787527777778,GMX,Both,366CNP5602
271,CADILLAC,XTS,397.30286135,GMX,Car,3663G17142
272,CADILLAC,XTS AWD,346.5701176642857,GMX,Car,366EGN4030
273,CADILLAC,XTS HEARSE,391.56916666666666,GMX,Car,3663G17142
274,CHEVROLET,1AK37,222.79174999999998,GMX,Car,221941181
275,CHEVROLET,1AS46,255.62470588235294,GMX,Car,2219AN8021
276,CHEVROLET,1AT46,253.47439999999997,GMX,Car,2219AN8021
277,CHEVROLET,1AU46,283.6129,GMX,Car,2018AN8050
278,CHEVROLET,1EF37,323.4079,GMX,Both,36E0V023
279,CHEVROLET,1ES37,359.6645625,GMX,Car,621AEP2116
280,CHEVROLET,1LH26,274.50607758846155,GMX,Both,241ALP5615
281,CHEVROLET,1LK26,282.55861764705884,GMX,Both,241ALP5687
282,CHEVROLET,1TD48,242.0145,GDX,Car,16X5HV553A
283,CHEVROLET,1TD69,221.144,GDX,Car,16X5NV547M
284,CHEVROLET,1WC19,332.447,GMX,Car,3917W74683
285,CHEVROLET,1WT19,290.4595,GMX,Car,3518W16997
286,CHEVROLET,1YY07,343.4395,GMX,Car,6216Y00043
287,CHEVROLET,1YY67,372.31624999999997,GMX,Car,6216Y00050
288,CHEVROLET,1YY87,401.0535,GMX,Car,6216Y15822
289,CHEVROLET,1ZF69,225.16899999999998,GMX,Car,2418Z46934
290,CHEVROLET,1ZG69,267.0695,GMX,Car,2418Z42999
291,CHEVROLET,1ZK69,349.73,GMX,Car,3619Z30683
292,CHEVROLET,2ZG69,251.671,GMX,Car,242AZN4054
293,CHEVROLET,6K10906,471.05850000000004,GMX,Truck,62XEKS7281
294,CHEVROLET,AVEO,224.6505,GDX,Car,16X5HV553A
295,CHEVROLET,C10 TAHOE 2WD,383.7215,GMX,Truck,53XECPA011A
296,CHEVROLET,C15 SILVERADO 2WD,417.2687880574712,GMX,Truck,53CPGN1110
297,CHEVROLET,C15 SILVERADO 2WD XFE,371.44924999999995,GMX,Truck,53XECUA000
298,CHEVROLET,C1500 SILVERADO CLASSIC 2WD,409.9475,GMX,Truck,43C6C30928
299,CHEVROLET,C1500 SUBURBAN 2WD,357.12524285714284,GMX,Truck,53XECSE012
300,CHEVROLET,C1500 TAHOE 2WD,383.72150000000005,GMX,Truck,53XECPA011
301,CHEVROLET,C1500 TAHOE 2WD HYBRID,380.3552,GMX,Truck,60C0K41256
302,CHEVROLET,C2500 SUBURBAN 2WD,551.6325,GMX,Truck,60XECSB655
303,CHEVROLET,CAMARO,353.72484530919536,GMX,Car,2016A34992
304,CHEVROLET,CAPRICE PPV,363.1896029411765,GMX,Both,368CEN4029
305,CHEVROLET,CAPTIVA AWD,362.36199999999997,GMX,Truck,301CLP5229
306,CHEVROLET,CAPTIVA FWD,318.3951666666667,GMX,Both,30TBLP4011
307,CHEVROLET,CC10703,385.0478636363636,GMX,Truck,53XECPA011
308,CHEVROLET,CC10706,371.44925,GMX,Truck,53XECUA000
309,CHEVROLET,CC10903,444.94000276388886,GMX,Truck,43XECP9030
310,CHEVROLET,CC15703,419.71433333333334,GMX,Truck,43C6C30928
311,CHEVROLET,CG13406,457.8213560868421,GMX,Truck,53XEGP9036
312,CHEVROLET,CG33406,555.86375,GMX,Truck,60XEGPA411
313,CHEVROLET,CHEV SS,408.147,GMX,Car,628EEP4243
314,CHEVROLET,COLORADO 2WD,321.1095625,GMX,Truck,2515279363
315,CHEVROLET,COLORADO 4WD,330.01467447,GMX,Truck,25SPFN1048
316,CHEVROLET,COLORADO CAB CHASSIS 2WD,424.231,GMX,Truck,36SPFN1067
317,CHEVROLET,COLORADO CAB CHASSIS INC 2WD,366.5555,GMX,Truck,37XESP9600
318,CHEVROLET,COLORADO CREW CAB 2WD,378.53950000000003,GMX,Truck,37XESP9600
319,CHEVROLET,COLORADO CREW CAB 4WD,402.1725,GMX,Truck,37XESP9600
320,CHEVROLET,CORVETTE,361.90801886986304,GMX,Car,1EYV2610
321,CHEVROLET,CRUZE,213.47769305731708,GMX,Car,1412P03137
322,CHEVROLET,CRUZE ECO,211.33598569444445,GMX,Car,14X70057EX
323,CHEVROLET,CS15643,360.16075,GMX,Truck,37XESP9600
324,CHEVROLET,CS15653,319.2965,GMX,Truck,29XESP9611
325,CHEVROLET,CT15643,414.1565,GMX,Truck,53XETPA518
326,CHEVROLET,EQUINOX AWD,327.8614833971428,GMX,Both,241CLP5219
327,CHEVROLET,EQUINOX FWD,272.9654047619048,GMX,Both,241CLN4446
328,CHEVROLET,G1500 EXPRESS 2WD CARGO,444.9614285714286,GMX,Truck,43XEGCC120
329,CHEVROLET,G1500 EXPRESS 2WD PASS,456.356375,GMX,Truck,53XEGP9036
330,CHEVROLET,G2500 EXPRESS 2WD CARGO MDPV,541.75525,GMX,Truck,60XEGCA050
331,CHEVROLET,G2500 EXPRESS 2WD PASS MDPV,527.387,GMX,Truck,60XEGCA050
332,CHEVROLET,G2500 EXPRESS CONV 2WD CARGO,562.3,GMX,Truck,60XEGCA050
333,CHEVROLET,G3500 EXPRESS 2WD CARGO MDPV,580.21675,GMX,Truck,60XEGCA050
334,CHEVROLET,G3500 EXPRESS 2WD PASS MDPV,541.803,GMX,Truck,60XEGCA050
335,CHEVROLET,H1500 EXPRESS AWD CARGO,462.5665625,GMX,Truck,53XEGP9036
336,CHEVROLET,H1500 EXPRESS AWD PASS,468.77675,GMX,Truck,53XEGP9036
337,CHEVROLET,HHR FWD,257.66416666666663,GMX,Car,2219AN8021
338,CHEVROLET,HHR PANEL FWD,272.24375,GMX,Car,2419A43414
339,CHEVROLET,IMPALA,300.8145824514286,GMX,Both,3612W94491
340,CHEVROLET,K10 TAHOE 4WD,383.7215,GMX,Truck,53XECPA011A
341,CHEVROLET,K15 SILVERADO 4WD,404.0847912625,GMX,Truck,43KPEE1381
342,CHEVROLET,K1500 SUBURBAN 4WD,380.78000000000003,GMX,Truck,53XECSE012
343,CHEVROLET,K1500 TAHOE 4WD,373.65941666666663,GMX,Truck,53XECSE012
344,CHEVROLET,K1500 TAHOE 4WD HYBRID,381.64346666666665,GMX,Truck,60C0K41256
345,CHEVROLET,MALIBU,247.9210867532258,GMX,Car,151GZV4311
346,CHEVROLET,MALIBU LIMITED,240.45275,GMX,Car,251GGV4700
347,CHEVROLET,RN15306,453.0,GMX,Truck,37XEHU8028
348,CHEVROLET,SONIC,216.0176754261905,GMX,Car,144HV712DA
349,CHEVROLET,SONIC 5,232.95,GMX,Car,145HV283DA
350,CHEVROLET,SONIC RS,219.967875,GMX,Car,145HV284DM
351,CHEVROLET,SPARK,190.72894304375,GMX,Car,145HV412DC
353,CHEVROLET,SS,417.1956,GMX,Car,628FEV4214
354,CHEVROLET,TC10543,442.94249999999994,GMX,Truck,62XECP9062
355,CHEVROLET,TC10706,312.41949999999997,GMX,Truck,60XECU8122
356,CHEVROLET,TRAVERSE AWD,370.79850000000005,GMX,Truck,3689ZP8000
357,CHEVROLET,TRAVERSE FWD,370.79850000000005,GMX,Truck,3689ZP8000
358,CHEVROLET,TRAX,244.1785,GMX,Car,1444J61466
359,CHEVROLET,TS15653,321.3385,GMX,Truck,29XESP9598
360,CHEVROLET,VOLT,213.4667592,GMX,Car,151GRN4058
361,CHEVROLET,ZR14526,370.7985,GMX,Both,3689ZP8000
362,CHEVROLET,ZZS69,260.05,GMX,Car,2489ZN4101
363,CHEVROLET,ZZV69,323.845,GMX,Both,36Z7Z61548
365,Chrysler,200,255.28053842777777,CRX,Both,L5UFC3713
366,Chrysler,200 AWD,292.0282825,CRX,Both,L5UFF9056
367,Chrysler,300,346.462221875,CRX,Car,K1LDD1889
368,Chrysler,300 AWD,297.45709,CRX,Car,L2LXF9773
369,Chrysler,300 Awd,380.1509425,CRX,Car,L1LDE5950
370,Chrysler,300/SRT-8,349.1820306,CRX,Car,L9LXC6235
371,Chrysler,ASPEN 4WD,466.19694795,CRX,Truck,V8HB55520
372,Chrysler,ASPEN HYBRID 4WD,326.82615799999996,CRX,Truck,N9HG59424
373,Chrysler,P T Cruiser,317.239562,CRX,Car,L4PTC0810
374,Chrysler,SEBRING,336.29636,CRX,Both,V8JSC9249
375,Chrysler,Town & Country,320.6925838095238,CRX,Both,L1RTK9901
376,Dodge,Avenger,316.31259857142857,CRX,Both,V0JSD6140
377,Dodge,CALIBER,285.09128699999997,CRX,Both,L6PMD7726
378,Dodge,CARAVAN FWD,339.8880555555555,CRX,Truck,K8RTK0089
379,Dodge,CHALLENGER,411.6894121,CRX,Car,K9LCD6371
380,Dodge,CHARGER,443.45699,CRX,Car,V8LXC0172
382,Dodge,Caliber,259.75717499999996,CRX,Both,L0PMD0768
383,Dodge,Challenger,375.08340052631576,CRX,Car,L1LCD1351
384,Dodge,Challenger SRT8,487.661100625,CRX,Car,L5LAD9771
385,Dodge,Charger,306.9187682352941,CRX,Car,L1LCD3362
386,Dodge,Charger AWD,309.715695,CRX,Car,L2LDE5756
388,Dodge,DAKOTA PICKUP 2WD,425.81248500000004,CRX,Truck,L5ND14804
390,Dodge,Dakota,467.9369765,CRX,Truck,V6ND15059
391,Dodge,Dart,232.05697889090908,CRX,Car,L2PFD1993
393,Dodge,Durango 4WD,404.4742066666667,CRX,Truck,L1WDE2979
394,Dodge,Durango AWD,400.731855,CRX,Truck,L6WDD0457
395,Dodge,Durango RWD,344.4721119866666,CRX,Truck,L6WDD0449
397,Dodge,JOURNEY 2WD,292.7572773333333,CRX,Car,L7JSC0243
398,Dodge,Journey,327.93066,CRX,Both,V0JSD6140
399,Dodge,NITRO 2WD,370.50318500000003,CRX,Truck,L7KA10570
403,Dodge,RAM 1500 PICKUP 2WD,410.468695,CRX,Truck,L9DS10852
404,Dodge,RAM 1500 PICKUP 4WD,466.3,CRX,Truck,K8DR67387
406,Dodge,Ram,457.5,CRX,Truck,L9DS10852
407,Dodge,Ram 1500 2WD,419.395515,CRX,Truck,V1DS11097
